网店订单号	快递公司	快递单号
210913-010768946743762	圆通快递	YT5821289886120
210913-090104196541403	圆通快递	YT5821290700732
210913-101617571263301	圆通快递	YT5821286971346
210913-426162297702437	圆通快递	YT5821289893491
210913-551404215162537	中通快递	75809898293393
210914-100516576862050	圆通快递	YT5821288413554
210914-156080598700308	圆通快递	YT5821287679660
210914-187852471873682	圆通快递	YT5821286957877
210914-538763652491289	圆通快递	YT5821286960272
210914-569817209622299	圆通快递	YT5821289879887
210914-611561020220647	圆通快递	YT5821284724922
210915-064791592601096	中通快递	75809898226702
210915-089223351180219	圆通快递	YT5821291464090
210915-089653329402960	圆通快递	YT5821288414749
210915-369035867011488	圆通快递	YT5821291471672
210915-573801777951400	圆通快递	YT5821286968452
210916-297255618180143	中通快递	75809898507456
210917-275628748283013	中通快递	78229129438396
210918-293617069492012	中通快递	75809898226358
210922-048538654340507	圆通快递	YT5821289103864
210923-031708988952646	圆通快递	YT5821285206291
210923-127118908470225	中通快递	75809899295206
210923-166230782973038	中通快递	75809898235003
210923-170461766492566	中通快递	75809899079762
210923-294610543401206	圆通快递	YT5821287676602
210923-352439540550432	圆通快递	YT5821287453332
PO-210913-423666656231279	中通快递	75809898644869
PO-210913-441052056470400	圆通快递	YT5821289896212
PO-210914-235447274550225	中通快递	75809898507501
PO-210914-449147063210509	中通快递	75809898506972
PO-210915-375589488061109	圆通快递	YT5821290692971
PO-210915-621029703042768	中通快递	75809898430586
PO-210917-606968298923716	圆通快递	YT5821291461700
PO-210923-263229305910225	中通快递	75809895898303
PO-210923-510939688390432	圆通快递	YT5821103964522
210923-420033402370649	圆通快递	YT5828988785211
210924-014019480441128	圆通快递	YT5829153058600
210916-314897877801256	圆通快递	YT5828992970170
210920-030807202793014	圆通快递	YT5819210211622
210919-147733891861026	中通快递	75810903686888
210923-345820435841126	圆通快递	YT5828994529861
210922-374236835230523	圆通快递	YT5828994529378
210919-281993625120066	圆通快递	YT5819213790908
210921-676258149131032	圆通快递	YT5819210211248
210919-158114804501691	圆通快递	YT5819210896244
210919-222581246932253	圆通快递	YT5828991611002
210922-173476494802390	圆通快递	YT5828995231740
210919-044983940001321	圆通快递	YT5819210895933
210922-435337317353865	圆通快递	YT5828993012500
210919-482974135193660	圆通快递	YT5819211610802
210917-245188565831670	圆通快递	YT5828987983613
210920-595968674673486	圆通快递	YT5819213085564
210919-186164202250678	圆通快递	YT5819214554502
210920-102508860921985	圆通快递	YT5819215273266
210919-520502680391409	中通快递	75809603075520
210920-449189006211152	圆通快递	YT5819211609819
210922-070695044524084	中通快递	75810903633457
210926-111615702020507	圆通快递	YT5831739858356
210926-124156670932295	圆通快递	YT5831739030100
210926-164741846653279	圆通快递	YT5831741036145
210926-239846082010885	圆通快递	YT5831741823846
210926-270637526602379	圆通快递	YT5831736799407
210926-291635250793014	圆通快递	YT5831739647877
210926-306750462873641	圆通快递	YT5831741262366
210926-406197390240612	圆通快递	YT5831742420882
210926-569927331500139	圆通快递	YT5831744885400
210926-575998565370633	圆通快递	YT5831739648150
210926-670396609341403	圆通快递	YT5831741263727
